# x, y, omega
# 
326.666375 248.485804 0.020642
322.974654 252.930426 0.022069
320.288127 257.300449 0.023153
317.713265 262.090167 0.024237
315.307346 267.309266 0.025314
313.431122 272.540434 0.026376
312.089500 278.136843 0.027406
310.961546 284.483482 0.028382
310.250100 291.124732 0.029293
310.591497 297.053677 0.030125
311.241592 304.037596 0.030853
312.435630 311.058340 0.031459
314.188487 318.035727 0.031930
317.046491 324.314697 0.032252
320.290035 330.823791 0.032401
324.012838 336.954071 0.032373
328.679212 342.030344 0.032161
333.543725 347.090381 0.031755
338.635283 351.522398 0.031161
344.188268 354.736904 0.030391
349.790066 357.946627 0.029448
355.325091 360.464137 0.028347
360.695131 362.329348 0.027112
366.236116 363.042095 0.025762
371.428864 363.837536 0.024311
377.785270 364.096261 0.022265
383.410529 363.602706 0.020148
388.778046 362.010662 0.018009
394.453922 360.181887 0.015349
399.100808 357.867743 0.012783
403.389893 354.707063 0.009909
406.164393 350.181397 0.007734
409.452152 345.901450 0.005023
412.318597 341.180535 0.002102
414.223828 336.136550 -0.000423
415.504526 330.896850 -0.002456
416.512522 325.967679 -0.003904
416.720381 320.807382 -0.004605
416.639970 315.529210 -0.005276
416.936587 310.355911 -0.005891
418.060933 305.382640 -0.006352
420.102301 300.739320 -0.006865
420.938137 295.677623 -0.007241
422.707868 290.966743 -0.007881
425.511077 286.562342 -0.008639
428.200672 282.119639 -0.009532
432.868088 279.665173 -0.010909
437.882443 278.802471 -0.012579
442.559762 280.700206 -0.014092
446.251266 284.123498 -0.015925
448.472175 288.795231 -0.017457
449.466717 294.170766 -0.018593
449.195076 299.650418 -0.019200
447.782020 304.802641 -0.019523
445.808593 309.600781 -0.019488
442.125754 313.616109 -0.019081
437.561165 316.258021 -0.018182
432.729893 318.504864 -0.016879
427.679026 318.041827 -0.015320
422.807310 316.658832 -0.013286
418.788154 313.103472 -0.011595
415.716571 309.151252 -0.009845
414.026394 304.179478 -0.008715
412.035413 299.377461 -0.007603
410.647224 294.155551 -0.006540
410.047972 289.121024 -0.005772
409.997046 283.912104 -0.005211
409.941871 278.047349 -0.004907
409.573670 272.657791 -0.004643
409.433346 267.448519 -0.004395
409.695870 262.106901 -0.004232
410.383174 256.670417 -0.004180
411.408305 251.729603 -0.004248
412.885353 246.779771 -0.004443
414.909469 241.867796 -0.004785
